product_name,city,price,price_unit,date,market_name,source
"Pork","Changzhou",27.97,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",4.51,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",7.11,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",3.98,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",3.92,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",2.98,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.51,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",6.07,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.69,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.4,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",18.48,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Apples","Changzhou",7.51,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",3.15,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",3.81,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.41,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",18.31,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pork","Changzhou",28.16,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",2.96,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",4.26,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Apples","Changzhou",7.89,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pork","Changzhou",24.42,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",15.6,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.22,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",3.95,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",6.51,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",47.05,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",18.48,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",7.02,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",29.74,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",46.91,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.65,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.6,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",3.98,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.72,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",5.56,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",6.13,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",3.88,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.32,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",17.41,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",18.81,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.1,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.82,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",3.69,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",8.78,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.37,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",4.1,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.63,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",47.77,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",28.12,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.33,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",7.1,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",6.6,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.39,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",3.82,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.8,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.06,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",3.95,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.27,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.05,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",28.14,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",4,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.28,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",8.51,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",8.6,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.36,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",25.73,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.12,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",4.1,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.36,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",8.33,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",48.45,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",3.93,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",5.99,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.68,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",9.16,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Tomatoes","Huai'an",6.11,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",6.37,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",3.44,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.46,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",6.84,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",7.22,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",17.42,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Wheat","Huai'an",4.03,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pears","Huai'an",6.65,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Corn","Huai'an",3.3,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",43.45,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Beef","Huai'an",48.36,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",29.55,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",19.97,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Huai'an",3.83,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.54,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Apples","Huai'an",8.54,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.52,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.69,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cucumbers","Huai'an",4.44,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.5,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Potatoes","Huai'an",3.14,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.88,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Rice","Huai'an",4.43,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Pork","Huai'an",25.44,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Cabbage","Huai'an",2.94,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Chicken","Huai'an",17.86,"CNY/kg",2025-11-11,"Huai'an Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",4.13,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",20.49,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",26.72,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",3.22,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",3.94,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.68,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",5.71,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",2.7,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",4.68,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",49.19,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",6.67,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.6,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",4.19,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",3.05,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8.16,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",3.15,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.44,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",4.29,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",6.43,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.47,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",3.96,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",19.41,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",7.66,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",31.15,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",42.39,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8.19,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",3.08,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",4.83,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.42,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",4.39,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",46.87,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",2.72,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",20.62,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",7.88,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",28.23,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",5.82,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",43.99,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",3.51,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.89,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",4,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",3.2,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",17.77,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8.41,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",4.07,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.33,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",6.46,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",6.65,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",4.18,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.89,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",19.43,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8.38,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",31.18,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",2.97,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",3.42,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",4.29,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",3.96,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",50.21,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",7.3,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.36,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.38,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",6.78,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Carrots","Lianyungang",4.37,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Beef","Lianyungang",42.66,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Potatoes","Lianyungang",2.99,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Apples","Lianyungang",8.76,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",4.78,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cucumbers","Lianyungang",4.7,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",2.94,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Tomatoes","Lianyungang",6.53,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Wheat","Lianyungang",3.73,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",26.94,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Lianyungang",5.03,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Chicken","Lianyungang",20.59,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Cabbage","Lianyungang",2.79,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pears","Lianyungang",7.78,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Corn","Lianyungang",3.63,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Pork","Lianyungang",29.19,"CNY/kg",2025-11-11,"Lianyungang Agricultural Market","FarmSight Market Data"
"Rice","Nanjing",4.74,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Wheat","Nanjing",3.58,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Beef","Nanjing",49.11,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Pork","Nanjing",30.16,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Chicken","Nanjing",17.63,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Chicken","Nanjing",18.2,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Potatoes","Nanjing",3.29,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Cucumbers","Nanjing",4.69,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Rice","Nanjing",4.76,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Pork","Nanjing",31.84,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Cabbage","Nanjing",2.88,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
"Cabbage","Nanjing",3.15,"CNY/kg",2025-11-11,"Nanjing Agricultural Market","FarmSight Market Data"
